#Pos	Phred	prob	A->C	A->G	A->T	A->N	C->A	C->G	C->T	C->N	G->A	G->C	G->T	G->N	T->A	T->C	T->G	T->N
7	K	0.6109849881420012	46404	47230	45969	0	41972	51456	42937	0	42448	53883	41985	0	47745	47962	47257	0
7	,	0.08047916205638951	26361	23541	18961	0	18442	20641	18647	0	17911	20953	21111	0	17359	22064	27950	0
7	A	0.08445967297088457	5630	5889	5166	0	4397	6264	5517	0	4380	5885	5477	0	4534	5773	6194	0
7	F	0.12307163124860021	6732	7382	6798	0	5562	8394	7012	0	5879	7705	7000	0	5956	6898	7546	0
7	7	0.038452909682355325	4617	4464	3299	0	3295	4357	3582	0	3212	4558	3702	0	3119	4238	5167	0
7	<	0.051809077531512336	4974	4860	4104	0	3681	5063	4363	0	3596	5066	4306	0	3506	4844	5268	0
7	(	0.010714968305796414	8591	9233	793	0	1278	8113	1302	0	1513	7684	1482	0	816	6711	9933	0
7	#	2.7590062460464588e-05	0	0	0	72	0	0	0	68	0	0	0	64	0	0	0	85
8	K	0.6164006338778436	50096	44256	49322	0	40226	47393	44585	0	41611	57145	44591	0	44720	51731	43755	0
8	F	0.1227603339513655	7001	6844	7452	0	5516	7595	7407	0	5795	8020	7535	0	5731	7326	6926	0
8	7	0.03790895591285594	4520	4337	3498	0	3190	4397	3630	0	3141	4313	3847	0	3211	4238	4916	0
8	,	0.07822676609189165	25826	22707	18926	0	18034	19888	18027	0	17551	19960	20509	0	16929	21499	27172	0
8	A	0.08358165437990178	5886	5647	5551	0	4289	6035	5620	0	4464	5890	5502	0	4448	6028	5990	0
8	<	0.05063017117911673	4965	4855	4319	0	3506	4910	4229	0	3578	4789	4430	0	3536	4995	5202	0
8	(	0.010472855751902627	8384	8830	823	0	1209	8014	1285	0	1510	7525	1429	0	838	6677	9977	0
8	#	1.862885512215179e-05	0	0	0	52	0	0	0	52	0	0	0	49	0	0	0	42
9	K	0.6219034394411237	48019	45287	47374	0	41637	49029	44734	0	43428	55792	44459	0	44849	50744	45345	0
9	A	0.08206562446971996	5659	5749	5466	0	4364	6197	5697	0	4306	5814	5442	0	4560	5962	5955	0
9	F	0.12152300011232975	6648	6895	7306	0	5537	7847	7369	0	5727	7640	7452	0	5606	7301	6975	0
9	<	0.049742191290381946	4809	4802	4233	0	3421	4991	4350	0	3570	4740	4337	0	3570	4952	5026	0
9	,	0.07656519546570238	25150	22329	18912	0	18393	19907	18727	0	17446	19724	21088	0	17028	21347	25970	0
9	(	0.010280322458061571	7969	8476	820	0	1256	8091	1401	0	1467	7403	1454	0	813	6391	9336	0
9	7	0.03757606755080531	4573	4201	3567	0	3313	4657	3851	0	3267	4349	3945	0	3228	4139	4819	0
9	#	0.00034415921187540483	0	0	0	941	0	0	0	900	0	0	0	850	0	0	0	909
10	K	0.6278425426311444	47324	47880	46807	0	42506	50477	44162	0	43961	55109	43960	0	45278	50899	46975	0
10	A	0.08085193127361043	5609	5922	5352	0	4326	6494	5488	0	4410	5886	5351	0	4368	5954	6180	0
10	<	0.04891417007077139	4806	4864	4173	0	3686	5237	4347	0	3485	4952	4230	0	3644	5050	5247	0
10	,	0.07456857080022855	24640	22224	18538	0	18353	19772	18220	0	17172	19197	19849	0	17037	21076	26083	0
10	F	0.12055567156864762	6824	7182	7022	0	5558	8006	6899	0	5788	7494	7025	0	5746	7303	7355	0
10	7	0.0372437738196853	4543	4400	3580	0	3311	4712	3714	0	3257	4305	3770	0	3079	4354	5106	0
10	(	0.010011382462704235	7829	8512	895	0	1264	7940	1284	0	1429	7037	1430	0	809	6458	9368	0
10	#	1.1957373208080008e-05	0	0	0	29	0	0	0	28	0	0	0	42	0	0	0	26
11	K	0.6313064226384663	47888	47893	47584	0	42625	50559	45680	0	45284	52911	44810	0	44946	48840	46860	0
11	F	0.12073547572466604	6695	7385	7152	0	5518	7930	7445	0	5903	7401	7629	0	5685	6758	7324	0
11	A	0.08003462696781323	5719	6080	5498	0	4324	6227	5672	0	4600	5827	5645	0	4307	5854	6263	0
11	,	0.07315449303757583	25515	22527	18876	0	17759	18940	17972	0	16887	19302	20129	0	16572	20445	25609	0
11	<	0.047842397730932726	5003	4922	4242	0	3714	5071	4285	0	3613	4760	4477	0	3527	4746	5015	0
11	7	0.03700687812451738	4987	4515	3823	0	3436	4525	3894	0	3428	4333	3987	0	3189	4278	5043	0
11	(	0.009899611647475498	8087	8826	908	0	1234	7648	1194	0	1305	6961	1343	0	767	6310	9308	0
11	#	2.0094128553048595e-05	0	0	0	61	0	0	0	53	0	0	0	42	0	0	0	54
12	K	0.6358335686086852	46201	49056	45781	0	44481	51392	45105	0	45629	52924	44041	0	44764	48573	47959	0
12	F	0.12085799736810623	6605	7465	7305	0	5648	7996	7298	0	6273	7570	7580	0	5781	6895	7433	0
12	,	0.0715227180284723	24025	21385	17958	0	17670	18806	17920	0	17011	19009	19520	0	16225	19472	24997	0
12	<	0.046772771862663	4834	5000	4079	0	3628	5155	4407	0	3622	4798	4231	0	3515	4848	4992	0
12	7	0.036312860389998806	4516	4425	3715	0	3461	4586	3917	0	3440	4220	3887	0	3327	4137	4884	0
12	A	0.0788719224787654	5701	6088	5338	0	4492	6524	5683	0	4590	5844	5511	0	4454	5892	6276	0
12	(	0.009794185907405191	7583	8547	876	0	1296	7604	1182	0	1405	6840	1378	0	820	6089	9254	0
12	#	3.3975355903816244e-05	0	0	0	79	0	0	0	103	0	0	0	86	0	0	0	87
13	K	0.6390876329857239	47292	49529	47435	0	44130	52438	45619	0	45060	51042	43484	0	46397	48167	47535	0
13	A	0.077874717038923	6044	6240	5541	0	4420	6545	5624	0	4588	5884	5464	0	4453	5828	6255	0
13	,	0.07033017310278486	25028	21789	18298	0	17276	18894	17445	0	16577	18322	18807	0	16348	19732	25013	0
13	F	0.1207553924125752	6845	7232	7315	0	5888	8042	7523	0	6089	7308	7331	0	6047	6979	7412	0
13	7	0.036362879335346564	4871	4596	3829	0	3422	4630	3944	0	3538	4211	3980	0	3398	4288	5081	0
13	<	0.04588874903685553	5194	5125	4251	0	3609	5220	4243	0	3589	4728	4258	0	3448	4745	5162	0
13	(	0.00966925259989184	7873	8642	893	0	1194	7629	1205	0	1288	6696	1322	0	806	6063	9117	0
13	#	3.120348789907682e-05	0	0	0	84	0	0	0	72	0	0	0	94	0	0	0	76
14	K	0.6430229106911933	47256	48885	47848	0	44221	51926	46708	0	45470	51144	44326	0	46824	48218	47486	0
14	,	0.06854160499169355	23592	21137	17998	0	17299	18666	16910	0	16690	18024	18796	0	16515	19328	24401	0
14	F	0.12111734808000485	7116	7422	7440	0	6071	8134	7568	0	6098	7233	7406	0	6150	7191	7574	0
14	A	0.07672448010450313	5907	6341	5472	0	4468	6566	5584	0	4709	5833	5477	0	4522	5844	6143	0
14	<	0.045046969649548324	5092	5019	4157	0	3519	5024	4136	0	3596	4823	4174	0	3568	4881	5233	0
14	7	0.036103081599901686	4671	4711	3919	0	3551	4744	3892	0	3569	4363	3977	0	3355	4220	5091	0
14	(	0.009428577964392329	7768	8318	810	0	1163	7413	1125	0	1320	6409	1298	0	809	5883	8950	0
14	#	1.502691876285005e-05	0	0	0	39	0	0	0	36	0	0	0	37	0	0	0	45
15	K	0.6457995230773752	46321	49703	45252	0	44724	52876	44935	0	45234	50670	42496	0	47013	49217	48347	0
